###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./metadata_2023-10-04-17h-48m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Related File Relationship	Related File	Paired End	File Status	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFI1245YN4/@@download/4DNFI1245YN4.bed.gz	4DNESUETFCBR	N/A	4DNFI1245YN4	0.01	7d11913dcd396d873dcce0a0ed831cf3	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	H3K9me3	HAP-1 (Tier 2)	pADamID on Hap1	H3K9me3 antibody	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/800ef796-206d-4aee-a176-0879760dc385/4DNFI1245YN4.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI13CA4DM/@@download/4DNFI13CA4DM.bed.gz	4DNESHGTQ73M	N/A	4DNFI13CA4DM	0.00	827832dc1277cd5f3ce047f224ca806b	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	LMNB1 protein	RPE-hTERT (Tier 2)	DamID-seq on RPE cells (2018-10-22)	LaminB1-Dam	80 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/61a96d5b-8e46-4d7d-b58a-eda7ae9cbc78/4DNFI13CA4DM.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI16AGJVE/@@download/4DNFI16AGJVE.bed.gz	4DNESYPMROEJ	N/A	4DNFI16AGJVE	0.01	ab5088a60cbbcaac5a3b4dd2183035fc	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	Lmnb1 mouse protein	F121-9-CASTx129 (Tier 2)	DamID-seq on F121-9 cells (2018-10-22)	LaminB1-Dam	25 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/15f294a5-0a2a-41fb-ac3a-e5d25bca12f2/4DNFI16AGJVE.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI17QGMB5/@@download/4DNFI17QGMB5.bed.gz	4DNESUK5H9Y8	N/A	4DNFI17QGMB5	0.03	71abb08b51f829549015392d484cf511	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	LMNB1 protein	HAP-1 (Tier 2)	DamID-seq on HAP-1 cells (2018-10-22)	LaminB1-Dam	2 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/784666eb-1136-41d7-816f-904d60406ef2/4DNFI17QGMB5.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI1C1RLSS/@@download/4DNFI1C1RLSS.bed.gz	N/A	4DNEXPQ7GO6N	4DNFI1C1RLSS	0.02	93ef7a44435eb6521c161aac33d91b06	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	HAP-1 (Tier 2)	DamID-seq on HAP-1 cells (2018-10-22)	LaminB1-Dam	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1258a418-c27a-4476-a0a9-7bfa38c3f648/4DNFI1C1RLSS.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI1O3JZF9/@@download/4DNFI1O3JZF9.bed.gz	N/A	4DNEXARTXZ9G	4DNFI1O3JZF9	0.00	4048034b5f72d99dc3209b06a9ebd9a1	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	U2OS	DamID-seq on U2OS cells (2020-07-01)	LaminB1-Dam	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/268752df-1d7b-4ee4-8314-481e07c0f535/4DNFI1O3JZF9.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI1QSG51W/@@download/4DNFI1QSG51W.bed.gz	4DNES9GYOUK1	N/A	4DNFI1QSG51W	0.00	e1cf93a570956464d07c93cd3740c683	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB2 protein	K562 (Tier 2)	pADamID on K562	LaminB2 antibody	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/616e4b86-9899-4b0b-8adb-60412a90e1ba/4DNFI1QSG51W.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI1SBXFTD/@@download/4DNFI1SBXFTD.bed.gz	4DNESXZ4FW4T	N/A	4DNFI1SBXFTD	0.01	93272fb0165aa1b63f000bee89323493	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	LMNB1 protein	HFFc6 (Tier 1)	DamID-seq on HFFc6 cells (2017-12-14)	LaminB1-Dam	10 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4e6abb20-c01a-425e-a1cf-8900a3627ed7/4DNFI1SBXFTD.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI1VFAAK4/@@download/4DNFI1VFAAK4.bed.gz	N/A	4DNEX6SFGOJY	4DNFI1VFAAK4	0.12	4820f8bc316a6baaed33afe90d460358	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	N/A	HCT116 (Tier 2)	pADamID on HCT116	pADam-only control	5kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f895d589-e23e-4e33-a85e-afb46e05699f/4DNFI1VFAAK4.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI1WHJU3J/@@download/4DNFI1WHJU3J.bed.gz	N/A	4DNEXUJUPQ4D	4DNFI1WHJU3J	0.00	629f98185d4030b02a024d2ead973c7d	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	RPE-hTERT (Tier 2)	DamID-seq on RPE cells (2018-10-22)	LaminB1-Dam	100 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/605851cb-f328-4325-927b-6401d88795ee/4DNFI1WHJU3J.bed.gz
